prefix,subnetmask,gateway,broadcast,device,interface
10.123.12.8/29,255.255.255.248,10.123.8.9,10.123.12.15,cin-leaf1.pnj,te0/0/0/2
10.123.12.16/29,255.255.255.248,10.123.8.17,10.123.12.23,cin-leaf1.pnj,te0/0/0/3
10.123.12.24/29,255.255.255.248,10.123.8.25,10.123.12.31,cin-leaf1.pnj,te0/0/0/4
10.123.12.32/29,255.255.255.248,10.123.8.33,10.123.12.39,cin-leaf1.pnj,te0/0/0/5
10.123.12.40/29,255.255.255.248,10.123.8.41,10.123.12.47,cin-leaf1.pnj,te0/0/0/6
10.123.12.48/29,255.255.255.248,10.123.8.49,10.123.12.55,cin-leaf1.pnj,te0/0/0/7
10.123.12.56/29,255.255.255.248,10.123.8.57,10.123.12.63,cin-leaf1.pnj,te0/0/0/8
10.123.12.64/29,255.255.255.248,10.123.8.65,10.123.12.71,cin-leaf1.pnj,te0/0/0/9
10.123.12.72/29,255.255.255.248,10.123.8.73,10.123.12.79,cin-leaf1.pnj,te0/0/0/10
10.123.12.80/29,255.255.255.248,10.123.8.81,10.123.12.87,cin-leaf1.pnj,te0/0/0/11
10.123.12.88/29,255.255.255.248,10.123.8.89,10.123.12.95,cin-leaf1.pnj,te0/0/0/12
10.123.12.96/29,255.255.255.248,10.123.8.97,10.123.12.103,cin-leaf1.pnj,te0/0/0/13
10.123.12.104/29,255.255.255.248,10.123.8.105,10.123.12.111,cin-leaf1.pnj,te0/0/0/14
10.123.12.112/29,255.255.255.248,10.123.8.113,10.123.12.119,cin-leaf1.pnj,te0/0/0/15
10.123.12.120/29,255.255.255.248,10.123.8.121,10.123.12.127,cin-leaf1.pnj,te0/0/0/16
10.123.12.128/29,255.255.255.248,10.123.8.129,10.123.12.135,cin-leaf1.pnj,te0/0/0/17
10.123.12.136/29,255.255.255.248,10.123.8.137,10.123.12.143,cin-leaf1.pnj,te0/0/0/18
10.123.12.144/29,255.255.255.248,10.123.8.145,10.123.12.151,cin-leaf1.pnj,te0/0/0/19
10.123.12.152/29,255.255.255.248,10.123.8.153,10.123.12.159,cin-leaf1.pnj,te0/0/0/20
10.123.12.160/29,255.255.255.248,10.123.8.161,10.123.12.167,cin-leaf1.pnj,te0/0/0/21
10.123.12.168/29,255.255.255.248,10.123.8.169,10.123.12.175,cin-leaf1.pnj,te0/0/0/22
10.123.12.176/29,255.255.255.248,10.123.8.177,10.123.12.183,cin-leaf1.pnj,te0/0/0/23
10.123.12.184/29,255.255.255.248,10.123.8.185,10.123.12.191,cin-leaf1.pnj,te0/0/0/24
10.123.12.192/29,255.255.255.248,10.123.8.193,10.123.12.199,cin-leaf1.pnj,te0/0/0/25
10.123.12.200/29,255.255.255.248,10.123.8.201,10.123.12.207,cin-leaf1.pnj,te0/0/0/26
10.123.12.208/29,255.255.255.248,10.123.8.209,10.123.12.215,cin-leaf1.pnj,te0/0/0/27
10.123.12.216/29,255.255.255.248,10.123.8.217,10.123.12.223,cin-leaf1.pnj,te0/0/0/28
10.123.12.224/29,255.255.255.248,10.123.8.225,10.123.12.231,cin-leaf1.pnj,te0/0/0/29
10.123.12.232/29,255.255.255.248,10.123.8.233,10.123.12.239,cin-leaf1.pnj,te0/0/0/30
10.123.12.240/29,255.255.255.248,10.123.8.241,10.123.12.247,cin-leaf1.pnj,te0/0/0/31
10.123.12.248/29,255.255.255.248,10.123.8.249,10.123.12.255,cin-leaf1.pnj,te0/0/0/32
10.123.13.0/29,255.255.255.248,10.123.13.1,10.123.13.7,cin-leaf1.pnj,te0/0/0/33
10.123.13.8/29,255.255.255.248,10.123.13.9,10.123.13.15,cin-leaf1.pnj,te0/0/0/34
10.123.13.16/29,255.255.255.248,10.123.13.17,10.123.13.23,cin-leaf1.pnj,te0/0/0/35
10.123.13.24/29,255.255.255.248,10.123.13.25,10.123.13.31,cin-leaf1.pnj,te0/0/0/36
10.123.13.32/29,255.255.255.248,10.123.13.33,10.123.13.39,cin-leaf1.pnj,te0/0/0/37
10.123.13.40/29,255.255.255.248,10.123.13.41,10.123.13.47,cin-leaf1.pnj,te0/0/0/38
10.123.13.48/29,255.255.255.248,10.123.13.49,10.123.13.55,cin-leaf1.pnj,te0/0/0/39
